"COUNTRY_CODE/CODE_PAYS","START_DATE/DATE_DE_DÉBUT","END_DATE/DATE_DE_FIN","COUNTRY_LABEL_EN/MARQUE_DE_PAYS_AN","COUNTRY_LABEL_FR/MARQUE_DE_PAYS_FR","PROVINCE_CODE/CODE_PROVINCE","PROVINCE_LABEL_EN/MARQUE_DE_PROVINCE_AN","PROVINCE_LABEL_FR/MARQUE_DE_PROVINCE_FR","STATE_CODE/CODE_D_ÉTAT","STATE_LABEL_EN/MARQUE_D_ÉTAT_AN","STATE_LABEL_FR/MARQUE_D_ÉTAT_FR"
"001","197601","---","Canada","Canada","","","","","",""
"001","197601","---","Canada","Canada","01","Canada","Canada","","",""
"001","197601","---","Canada","Canada","10","Newfoundland Labrador","Terre Neuve et le Labrador","","",""
"001","197601","---","Canada","Canada","11","Prince Edward Is.","Î. Prince-Édouard","","",""
"001","197601","---","Canada","Canada","12","Nova Scotia","Nouvelle-Écosse","","",""
"001","197601","---","Canada","Canada","13","New Brunswick","Nouveau-Brunswick","","",""
"001","197601","---","Canada","Canada","24","Quebec","Québec","","",""
"001","197601","---","Canada","Canada","35","Ontario","Ontario","","",""
"001","197601","---","Canada","Canada","46","Manitoba","Manitoba","","",""
"001","197601","---","Canada","Canada","47","Saskatchewan","Saskatchewan","","",""
"001","197601","---","Canada","Canada","48","Alberta","Alberta","","",""
"001","197601","---","Canada","Canada","59","British Columbia","Colombie britann.","","",""
"001","197601","---","Canada","Canada","60","Yukon","Yukon","","",""
"001","197601","---","Canada","Canada","61","Northwest Terr.","Territ. du N.-O.","","",""
"001","197601","---","Canada","Canada","62","Nunavut","Nunavut","","",""
"002","198101","---","High Seas","Haute mer","","","","","",""
"003","196601","---","Greenland","Groenland","","","","","",""
"006","196601","---","Saint Pierre and Miquelon","Saint-Pierre-et-Miquelon","","","","","",""
"009","196601","---","United States","États-Unis","","","","","",""
"009","196601","---","United States","États-Unis","","","","1000","Non USA","Non USA"
"009","196601","---","United States","États-Unis","","","","1001","N/A","S/O"
"009","196601","---","United States","États-Unis","","","","1002","Other States","Autres états"
"009","196601","---","United States","États-Unis","","","","1003","Alaska","Alaska"
"009","196601","---","United States","États-Unis","","","","1004","Alabama","Alabama"
"009","196601","---","United States","États-Unis","","","","1005","Arkansas","Arkansas"
"009","196601","---","United States","États-Unis","","","","1006","Arizona","Arizona"
"009","196601","---","United States","États-Unis","","","","1007","California","Californie"
"009","196601","---","United States","États-Unis","","","","1008","Colorado","Colorado"
"009","196601","---","United States","États-Unis","","","","1009","Connecticut","Connecticut"
