hs_code,units_import,country_id,state_id,geo_id,value,quantity,year,month
271600,MWH,9,1000,1,20064226,685068,2017,11
271600,MWH,9,1000,1,34368738,749291,2017,12
271600,MWH,9,1000,1,59166622,1385495,2018,1
271600,MWH,9,1000,1,30535357,1427986,2018,2
271600,MWH,9,1000,1,31648039,1265281,2018,3
271600,MWH,9,1000,1,31915834,1467493,2018,4
271600,MWH,9,1000,1,20183347,1097375,2018,5
271600,MWH,9,1000,1,23516813,1008342,2018,6
271600,MWH,9,1000,1,56695549,673225,2018,7
271600,MWH,9,1000,1,52925514,722907,2018,8
271600,MWH,9,1000,1,29923594,878640,2018,9
271600,MWH,9,1000,1,44474504,901776,2018,10
271600,MWH,9,1000,1,72826013,1325401,2018,11
271600,MWH,9,1000,1,55996610,1034086,2018,12
271600,MWH,9,1000,1,53249230,1164705,2019,1
271600,MWH,9,1000,1,76479829,924767,2019,2
271600,MWH,9,1000,1,145961593,1568025,2019,3
271600,MWH,9,1000,1,35206940,1452001,2019,4
271600,MWH,9,1000,1,18939508,991203,2019,5
271600,MWH,9,1000,1,28502510,967197,2019,6
271600,MWH,9,1000,1,44559269,1336564,2019,7
271600,MWH,9,1000,1,39566264,1136296,2019,8
271600,MWH,9,1000,1,42576546,1256103,2019,9
271600,MWH,9,1000,1,33327162,870804,2019,10
271600,MWH,9,1000,1,32447027,735617,2019,11
271600,MWH,9,1000,24,10193,461,2017,8
271600,MWH,9,1000,24,8849,434,2017,9
271600,MWH,9,1000,24,27238,1385,2017,10
271600,MWH,9,1000,24,69174,1017,2017,11
271600,MWH,9,1000,24,13017549,115235,2017,12
271600,MWH,9,1000,24,23020260,166836,2018,1
271600,MWH,9,1000,24,8719,106,2018,4
271600,MWH,9,1000,24,166565,6063,2018,6
271600,MWH,9,1000,24,6989,258,2018,8
271600,MWH,9,1000,24,5464,150,2018,10
271600,MWH,9,1000,24,486339,6000,2018,12
271600,MWH,9,1000,24,12404052,112056,2019,1
271600,MWH,9,1000,24,1956,58,2019,2
271600,MWH,9,1000,24,1307,60,2019,3
271600,MWH,9,1000,24,347,20,2019,4
271600,MWH,9,1000,24,2120,150,2019,5
271600,MWH,9,1000,24,5704,250,2019,9
271600,MWH,9,1000,13,588965,11248,2017,1
271600,MWH,9,1000,13,747934,19164,2017,2
271600,MWH,9,1000,13,237715,5141,2017,3
271600,MWH,9,1000,13,950409,23692,2017,4
271600,MWH,9,1000,13,726297,20830,2017,5
271600,MWH,9,1000,13,1362783,24564,2017,6
271600,MWH,9,1000,13,388725,9528,2017,7
271600,MWH,9,1000,13,693430,20629,2017,8
271600,MWH,9,1000,13,396970,10515,2017,9
271600,MWH,9,1000,13,519161,12542,2017,10
271600,MWH,9,1000,13,417703,9231,2017,11
271600,MWH,9,1000,13,2876490,34813,2017,12
271600,MWH,9,1000,13,1620384,14134,2018,1
271600,MWH,9,1000,13,1065109,23087,2018,2
271600,MWH,9,1000,13,944260,22711,2018,3
271600,MWH,9,1000,13,729607,17133,2018,4
271600,MWH,9,1000,13,347838,14402,2018,5
271600,MWH,9,1000,1,32447027,733443,2019,12
271600,MWH,9,1000,10,4259,52,2018,10
271600,MWH,9,1000,10,352,5,2019,1
271600,MWH,9,1000,10,8494,420,2019,4
271600,MWH,9,1000,10,276,18,2019,6
271600,MWH,9,1000,10,0,0,2019,7
271600,MWH,9,1000,10,7676,337,2019,10
271600,MWH,9,1000,10,21940,267,2019,11
271600,MWH,9,1000,10,21940,267,2019,12
271600,MWH,9,1000,12,110513,2482,2018,9
271600,MWH,9,1000,12,651737,10562,2018,10
271600,MWH,9,1000,12,453323,13691,2019,4
271600,MWH,9,1000,12,490792,16027,2019,5
271600,MWH,9,1000,12,216406,7255,2019,6
271600,MWH,9,1000,12,42494,1323,2019,7
271600,MWH,9,1000,12,46808,1800,2019,8
271600,MWH,9,1000,12,22214,1409,2019,9
271600,MWH,9,1000,12,119127,4871,2019,10
271600,MWH,9,1000,12,259422,6101,2019,11
271600,MWH,9,1000,12,259422,6101,2019,12
271600,MWH,9,1000,1,22308247,524949,2017,1
271600,MWH,9,1000,1,20718272,897817,2017,2
271600,MWH,9,1000,1,16262698,1229542,2017,3
271600,MWH,9,1000,1,11946713,1287563,2017,4
271600,MWH,9,1000,1,15521619,1206764,2017,5
271600,MWH,9,1000,1,12815938,1066152,2017,6
271600,MWH,9,1000,1,18950285,582207,2017,7
271600,MWH,9,1000,1,29246156,500447,2017,8
271600,MWH,9,1000,1,20387868,554746,2017,9
271600,MWH,9,1000,1,18195891,664257,2017,10
271600,MWH,9,1000,46,46100,595,2019,12
271600,MWH,9,1000,47,182741,5981,2017,1
271600,MWH,9,1000,47,71055,2865,2017,2
271600,MWH,9,1000,47,11258,7208,2017,3
271600,MWH,9,1000,47,13647,1070,2017,4
271600,MWH,9,1000,35,220857,5599,2017,7
271600,MWH,9,1000,35,83211,3993,2017,8
271600,MWH,9,1000,35,1804945,34363,2017,9
271600,MWH,9,1000,35,237634,7996,2017,10
271600,MWH,9,1000,35,1109928,41723,2017,11
271600,MWH,9,1000,35,631302,22756,2017,12
271600,MWH,9,1000,35,2754333,42967,2018,1
271600,MWH,9,1000,35,958314,44682,2018,2
271600,MWH,9,1000,35,836340,38513,2018,3
271600,MWH,9,1000,35,485743,15588,2018,4
271600,MWH,9,1000,35,821040,22471,2018,5
271600,MWH,9,1000,35,265232,13397,2018,6
271600,MWH,9,1000,35,1206012,24098,2018,7
271600,MWH,9,1000,35,992912,19957,2018,8
271600,MWH,9,1000,35,1090755,15771,2018,9
271600,MWH,9,1000,35,4651505,142118,2018,10
271600,MWH,9,1000,35,320813,5451,2018,11
271600,MWH,9,1000,35,1098781,25473,2018,12
271600,MWH,9,1000,35,745570,17608,2019,1
271600,MWH,9,1000,35,647557,15387,2019,2
271600,MWH,9,1000,35,306580,5794,2019,3
271600,MWH,9,1000,35,673602,19452,2019,4
271600,MWH,9,1000,35,117480,4134,2019,5
271600,MWH,9,1000,35,277452,8756,2019,6
271600,MWH,9,1000,35,246285,7299,2019,7
271600,MWH,9,1000,35,468097,17615,2019,8
271600,MWH,9,1000,35,318632,12290,2019,9
271600,MWH,9,1000,35,2037975,73353,2019,10
271600,MWH,9,1000,35,320528,9816,2019,11
271600,MWH,9,1000,35,320528,9816,2019,12
271600,MWH,9,1000,35,873696,26656,2017,1
271600,MWH,9,1000,35,250446,11279,2017,2
271600,MWH,9,1000,35,898154,22158,2017,3
271600,MWH,9,1000,35,684290,19486,2017,4
271600,MWH,9,1000,35,175966,6331,2017,5
271600,MWH,9,1000,35,98607,2702,2017,6
271600,MWH,9,1000,13,757854,18974,2018,6
271600,MWH,9,1000,13,610387,10925,2018,7
271600,MWH,9,1000,13,320422,5991,2018,8
271600,MWH,9,1000,13,508681,9543,2018,9
271600,MWH,9,1000,13,491495,10709,2018,10
271600,MWH,9,1000,13,940809,14487,2018,11
271600,MWH,9,1000,13,843470,14045,2018,12
271600,MWH,9,1000,13,1141921,25140,2019,2
271600,MWH,9,1000,13,662200,13546,2019,3
271600,MWH,9,1000,13,713315,20392,2019,4
271600,MWH,9,1000,13,189671,6443,2019,5
271600,MWH,9,1000,13,40103,1791,2019,6
271600,MWH,9,1000,13,92943,2598,2019,7
271600,MWH,9,1000,13,156677,4729,2019,8
271600,MWH,9,1000,13,16798,639,2019,9
271600,MWH,9,1000,13,293178,10862,2019,10
271600,MWH,9,1000,13,209332,5249,2019,11
271600,MWH,9,1000,13,209332,5249,2019,12
271600,MWH,9,1000,24,1150983,3045,2017,1
271600,MWH,9,1000,24,947198,57845,2017,2
271600,MWH,9,1000,24,22741,1431,2017,3
271600,MWH,9,1000,24,24876,900,2017,4
271600,MWH,9,1000,24,24963,916,2017,5
271600,MWH,9,1000,48,1106968,31766,2017,11
271600,MWH,9,1000,48,150251,6486,2017,12
271600,MWH,9,1000,48,4463182,126616,2018,1
271600,MWH,9,1000,48,5498224,204203,2018,2
271600,MWH,9,1000,48,6681776,231420,2018,3
271600,MWH,9,1000,48,8735826,269462,2018,4
271600,MWH,9,1000,48,8898390,234218,2018,5
271600,MWH,9,1000,48,9259503,230317,2018,6
271600,MWH,9,1000,48,4915319,79625,2018,7
271600,MWH,9,1000,48,4229177,34034,2018,8
271600,MWH,9,1000,48,287764,7963,2018,9
271600,MWH,9,1000,48,6081859,68415,2018,10
271600,MWH,9,1000,48,5785584,96985,2018,11
271600,MWH,9,1000,48,1044022,23311,2018,12
271600,MWH,9,1000,48,1230921,28803,2019,1
271600,MWH,9,1000,48,8745583,57219,2019,2
271600,MWH,9,1000,48,2066253,27824,2019,3
271600,MWH,9,1000,48,3314842,112177,2019,4
271600,MWH,9,1000,48,42846,598,2019,5
