code,start_date,end_date,unit_description,english_description
10121,201201,999912,NMB,"Horses, live, pure-bred breeding"
10129,201201,999912,NMB,"Horses, live, other than pure-bred breeding"
10130,201201,999912,NMB,"Asses, live"
10190,201201,999912,NMB,"Mules and hinnies, live"
10221,201201,999912,NMB,"Cattle, live, pure-bred breeding"
10229,201201,999912,NMB,"Cattle, live, other than pure-bred breeding"
10231,201201,999912,NMB,"Buffalo, live, pure-bred breeding"
10239,201201,999912,NMB,"Buffalo, live, other than pure-bred breeding"
10290,201201,999912,NMB,"Other bovine, live, other than cattle and other than buffalo, nes"
10310,198801,999912,NMB,"Swine, live pure-bred breeding"
10391,198801,999912,NMB,"Swine, live, o/t pure-bred breeding weighing less than 50 kg"
10392,198801,999912,NMB,"Swine, live, o/tpure-bred breeding weighing 50 kg or more"
10410,198801,999912,NMB,"Sheep, live"
10420,198801,999912,NMB,"Goats, live"
10511,198801,999912,NMB,"Fowls of the species Gallus domesticus, live, weighing not more than 185 g"
10512,199601,999912,NMB,"Turkeys,live domestic,weighing not more than 185 g"
10513,201201,999912,NMB,"Ducks, domestic, live, weighing <= 185 g"
10514,201201,999912,NMB,"Geese, domestic, live, weighing <= 185 g "
10515,201201,999912,NMB,"Guinea fowls, domestic, live, weighing <= 185 g"
10594,200701,999912,KGM,"Fowls of the species Gallus domesticus, live, weighing more than 185 g"
10599,198801,999912,KGM,"Poultry, live, o/t domestic fowls, weighing more than 185 g"
10611,200201,999912,NMB,"Primates, live"
10612,201201,999912,NMB,"Whales, dolphins, porpoises, manatees, dugongs,seals,sea lions and walruses,live"
10613,201201,999912,NMB,"Camels and other camelids, live"
10614,201201,999912,NMB,"Rabbits and hares, live"
10619,201201,999912,NMB,"Other mammals, live, nes"
10620,200201,999912,NMB,"Reptiles, including snakes and turtles, live"
10631,200201,999912,NMB,"Birds of prey, live"
10632,200201,999912,NMB,"Psittaciformes, including parrots, parakeets, macaws and cockatoos, live"
10633,201201,999912,NMB,"Ostriches, live; Emus, live"
10639,201201,999912,NMB,"Other birds, live, nes"
20110,198801,999912,KGM,"Bovine carcasses and half carcasses, fresh or chilled"
20120,198801,999912,KGM,"Bovine cuts bone in, fresh or chilled"
20130,198801,999912,KGM,"Bovine cuts boneless, fresh or chilled"
20210,198801,999912,KGM,"Bovine carcasses and half carcasses, frozen"
20220,198801,999912,KGM,"Bovine cuts bone in, frozen"
20230,198801,999912,KGM,"Bovine cuts boneless, frozen"
20311,198801,999912,KGM,"Swine carcasses and half carcasses, fresh or chilled"
20312,198801,999912,KGM,"Hams, shoulders and cuts thereof, of swine bone in, fresh or chilled"
20319,198801,999912,KGM,"Swine cuts, fresh or chilled, nes"
20321,198801,999912,KGM,"Swine carcasses and half carcasses, frozen"
20322,198801,999912,KGM,"Hams, shoulders and cuts thereof, of swine, bone in, frozen"
